"","id_party","%VOTO","ESCAÑOS","prob","prob_emp","update"
"1","DCH","54.2% ^48.7-59.7^","74 ^67-81^","86%","4%","2021-04-27"
"2","IZQ","44.5% ^39.2-49.9^","62 ^55-69^","10%","4%","2021-04-27"
