"","id_party","esc_med","Sexto","Quinto","Cuarto","Tercero","Segundo","Primero"
"1","PP",60,0,0,0,0,0,100
"2","PSOE",34,0,0,0.01,1,98.63,0
"3","MM",19,0.12,1.44,8.27,83.53,1,0
"4","Vox",12,5.9,23.29,47.7,6.71,0.02,0
"5","UP",11,9.89,38.35,27.36,3.2,0,0
"6","Cs",0,65.39,11.93,3.2,0.2,0,0
