"","id_party","voto_med","Sexto","Quinto","Cuarto","Tercero","Segundo","Primero"
"1","PP",41.3,0,0,0,0,0,100
"2","PSOE",20.3,0,0,0.2,18.48,81.32,0
"3","Más.Madrid",16.6,0,0.11,1.74,79.47,18.68,0
"4","Vox",9.2,3.24,27.49,67.71,1.55,0,0
"5","Unidas.Podemos",7.4,12.98,58.12,28.39,0.5,0,0
"6","Cs",3.8,83.76,14.26,1.96,0,0,0
