"","id_party","%VOTO","ESCAÑOS","prob","prob_emp","update"
"1","DCH","54.3% ^49-59.7^","74 ^68-80^","89%","3%","2021-05-05"
"2","IZQ","44.3% ^39.3-49.4^","62 ^56-68^","8%","3%","2021-05-05"
