"","id_party","voto","voto_plusminus","esc","esc_plusminus"
"1","PP","41,3%","37,6-45",60,"53-65"
"2","PSOE","20,3%","16,9-23,7",33,"24-34"
"3","Más.Madrid","16,6%","13,2-20",20,"18-28"
"4","Vox","9,2%","6,2-12,3",13,"8-18"
"5","Unidas.Podemos","7,4%","4,4-10,4",10,"4-16"
"6","Cs","3,8%","1-6,6",0,"0-5"
